[File]
VBOX202410301214310001, Whole Session.csv
[Information]
2025-01-07T04:09:53.0838173Z
[Unit]
num,state,state,state,state,hh:mm:ss.ss,ddd°mmm.mmmmm',ddd°mmm.mmmmm',km/h,deg,m,km/h,,num,hh:mm:ss.ss,hh:mm:ss.ss,g,(null),m,s,g,g,g
[Column name]
Satellites,BrakeTrigger,DGPS,Rtk,WavFile,Time,Latitude,Longitude,Velocity,Heading,Height,Vertical_velocity,Solution_Type,AviFileIndex,AviSyncTime,sampleperiod,ComboAcc,Combo_G,Distance,ElapsedTimeSeconds,CombinedAcceleration,LateralAcceleration,LongitudinalAcceleration
016,0,0,0,0,01:14:34.72,33°0016.66839600 S,148°0046.01144400 W,032.562,279.45,+00500.240,000.389,001,0001,-000000001,00:00:00.04,+8.777916E-02,8.777916E-02,00016.263,1.920000,+00.108,+00.071,+00.081,
016,0,0,0,0,01:14:34.76,33°0016.66836000 S,148°0046.01121000 W,032.569,279.73,+00500.230,000.389,001,0001,-000000001,00:00:00.04,+4.904845E-02,4.904845E-02,00016.625,1.960000,+00.110,-00.109,+00.005,
016,0,0,0,0,01:14:34.80,33°0016.66832400 S,148°0046.01097600 W,032.789,280.00,+00500.250,000.259,001,0001,-000000001,00:00:00.04,+1.067633E-01,1.067633E-01,00016.988,2.000000,+00.190,-00.109,+00.156,
016,0,0,0,0,01:14:34.84,33°0016.66828800 S,148°0046.01074200 W,033.012,279.96,+00500.260,000.130,001,0001,-000000001,00:00:00.04,+1.318277E-01,1.318277E-01,00017.353,2.040000,+00.159,+00.016,+00.158,
016,0,0,0,0,01:14:34.88,33°0016.66825800 S,148°0046.01050800 W,033.178,279.64,+00500.270,000.130,001,0001,-000000001,00:00:00.04,+1.235226E-01,1.235226E-01,00017.721,2.080000,+00.175,+00.130,+00.118,
016,0,0,0,0,01:14:34.92,33°0016.66822800 S,148°0046.01028000 W,032.900,279.34,+00500.260,000.130,001,0001,-000000001,00:00:00.04,+4.665148E-02,4.665148E-02,00018.088,2.120000,+00.231,+00.121,-00.197,
016,0,0,0,0,01:14:34.96,33°0016.66819200 S,148°0046.01004600 W,032.807,279.42,+00500.260,000.130,001,0001,-000000001,00:00:00.04,+5.404842E-02,5.404842E-02,00018.453,2.160000,+00.073,-00.032,-00.066,
016,0,0,0,0,01:14:35.00,33°0016.66816200 S,148°0046.00981200 W,032.854,279.55,+00500.260,000.130,001,0001,-000000001,00:00:00.04,+9.587890E-03,9.587890E-03,00018.818,2.200000,+00.062,-00.052,+00.033,
016,0,0,0,0,01:14:35.04,33°0016.66812600 S,148°0046.00957800 W,032.965,279.50,+00500.260,000.130,001,0001,-000000001,00:00:00.04,+3.555254E-02,3.555254E-02,00019.184,2.240000,+00.081,+00.020,+00.079,
016,0,0,0,0,01:14:35.08,33°0016.66809000 S,148°0046.00934400 W,033.059,279.59,+00500.270,000.130,001,0001,-000000001,00:00:00.04,+5.066883E-02,5.066883E-02,00019.550,2.280000,+00.076,-00.037,+00.067,
